long,lat,name,description,fid,ID
-0.529645,52.855666,C222,,3,0/0/2
-0.538588,52.857562,C321,,14,3/0/1
-0.538094,52.856714,C322,,15,3/0/2
-0.539516,52.856871,C323,,16,3/0/3
-0.541415,52.857874,C331,,18,4/0/1
-0.540922,52.857025,C332,,19,4/0/2
-0.542344,52.857182,C333,,20,4/0/3
-0.540497,52.858579,C313,,24,5/0/3
-0.532523,52.860863,C122,,27,6/0/2
-0.533945,52.86102,C123,,28,6/0/3
-0.535871,52.862027,C131,,30,7/0/1
-0.535377,52.861178,C132,,31,7/0/2
-0.536799,52.861335,C133,,32,7/0/3
-0.534009,52.863413,C111,,34,8/0/1
-0.533515,52.862565,C112,,35,8/0/2
-0.534937,52.862721,C113,,36,8/0/3
-0.524249,52.86354,NE113,,48,0/0/1
-0.524665,52.864494,NE111,,49,0/0/2
-0.523321,52.864232,NE112,,50,0/0/3
-0.520488,52.863917,NE122,,54,1/0/3
-0.523257,52.861838,NE133,,56,2/0/1
-0.523751,52.862687,NE131,,57,2/0/2
-0.522329,52.86253,NE132,,58,2/0/3
-0.516216,52.863447,NE211,,61,3/0/2
-0.514794,52.86329,NE212,,62,3/0/3
-0.512895,52.862287,NE223,,64,4/0/1
-0.511967,52.862978,NE222,,66,4/0/3
-0.513389,52.863135,NE221,,65,4/0/2
-0.514742,52.86089,NE233,,68,5/0/1
-0.515235,52.861738,NE231,,69,5/0/2
-0.513813,52.861582,NE232,,70,5/0/3
-0.518439,52.858134,NE323,,76,7/0/1
-0.518933,52.858982,NE321,,77,7/0/2
-0.517511,52.858825,NE322,,78,7/0/3
-0.520301,52.856747,NE333,,80,8/0/1
-0.520795,52.857596,NE331,,81,8/0/2
-0.519373,52.857439,NE332,,82,8/0/3
-0.54349,52.851601,S113,,94,0/0/1
-0.543905,52.852555,S111,,95,0/0/2
-0.542561,52.852293,S112,,96,0/0/3
-0.540656,52.851286,S123,,98,1/0/1
-0.54115,52.852135,S121,,99,1/0/2
-0.539728,52.851978,S122,,100,1/0/3
-0.542497,52.849899,S133,,102,2/0/1
-0.542991,52.850748,S131,,103,2/0/2
-0.541569,52.850591,S132,,104,2/0/3
-0.534963,52.850659,S213,,106,3/0/1
-0.534035,52.851351,S212,,108,3/0/3
-0.532135,52.850348,S223,,110,4/0/1
-0.532629,52.851196,S221,,111,4/0/2
-0.531207,52.851039,S222,,112,4/0/3
-0.534476,52.8498,S231,,115,5/0/2
-0.533054,52.849643,S232,,116,5/0/3
-0.540534,52.84651,S313,,118,6/0/1
-0.541028,52.847358,S311,,119,6/0/2
-0.539606,52.847202,S312,,120,6/0/3
-0.55184,52.867066,NW113,,140,0/0/1
-0.552256,52.86802,NW111,,141,0/0/2
-0.550912,52.867757,NW112,,142,0/0/3
-0.549007,52.866751,NW123,,144,1/0/1
-0.549501,52.867599,NW121,,145,1/0/2
-0.548079,52.867442,NW122,,146,1/0/3
-0.550848,52.865364,NW133,,148,2/0/1
-0.551342,52.866213,NW131,,149,2/0/2
-0.54992,52.866056,NW132,,150,2/0/3
-0.543314,52.866124,NW213,,152,3/0/1
-0.543808,52.866972,NW211,,153,3/0/2
-0.540486,52.865812,NW223,,156,4/0/1
-0.54098,52.866661,NW221,,157,4/0/2
-0.539558,52.866504,NW222,,158,4/0/3
-0.542333,52.864416,NW233,,160,5/0/1
-0.542827,52.865264,NW231,,161,5/0/2
-0.541405,52.865107,NW232,,162,5/0/3
-0.549378,52.862823,NW311,,165,6/0/2
-0.547957,52.862666,NW312,,166,6/0/3
-0.545102,52.862351,NW322,,170,7/0/3
-0.547892,52.860273,NW333,,172,8/0/1
-0.546964,52.860965,NW332,,174,8/0/3