WKT,longitude,latitude,block,uniqueID
POINT (-0.3569294 50.9852971),-0.3569294,50.9852971,Middle,M333
POINT (-0.3485947 50.9915279),-0.3485947,50.9915279,Middle,M222
POINT (-0.357116 50.9924665),-0.357116,50.9924665,Middle,M122
POINT (-0.3613712 50.9929382),-0.3613712,50.9929382,Middle,M111
POINT (-0.3608774 50.9920897),-0.3608774,50.9920897,Middle,M113
POINT (-0.3599493 50.9927814),-0.3599493,50.9927814,Middle,M112
POINT (-0.359885 50.9903881),-0.359885,50.9903881,Middle,M133
POINT (-0.3518472 50.9964065),-0.3518472,50.9964065,North,N333
POINT (-0.3435124 51.0026374),-0.3435124,51.0026374,North,N222
POINT (-0.3520337 51.003576),-0.3520337,51.003576,North,N122
POINT (-0.356289 51.0040476),-0.356289,51.0040476,North,N111
POINT (-0.3557951 51.0031992),-0.3557951,51.0031992,North,N113
POINT (-0.354867 51.0038909),-0.354867,51.0038909,North,N112
POINT (-0.3548028 51.0014976),-0.3548028,51.0014976,North,N133
POINT (-0.3591377 50.9747427),-0.3591377,50.9747427,South-2,SY222
POINT (-0.367659 50.9756813),-0.367659,50.9756813,South-2,SY122
POINT (-0.3714204 50.9753045),-0.3714204,50.9753045,South-2,SY113
POINT (-0.3704923 50.9759962),-0.3704923,50.9759962,South-2,SY112
POINT (-0.3704281 50.9736029),-0.3704281,50.9736029,South-2,SY133
POINT (-0.3757966 50.9622768),-0.3757966,50.9622768,South-3,SZ333
POINT (-0.3674619 50.9685076),-0.3674619,50.9685076,South-3,SZ222
POINT (-0.3759832 50.9694462),-0.3759832,50.9694462,South-3,SZ122
POINT (-0.3797446 50.9690694),-0.3797446,50.9690694,South-3,SZ113
POINT (-0.3788164 50.9697611),-0.3788164,50.9697611,South-3,SZ112
POINT (-0.3787522 50.9673678),-0.3787522,50.9673678,South-3,SZ133
POINT (-0.380276 50.9699127),-0.380276,50.9699127,South-1,SX333
POINT (-0.3719413 50.9761436),-0.3719413,50.9761436,South-1,SX222
POINT (-0.3804625 50.9770821),-0.3804625,50.9770821,South-1,SX122
POINT (-0.3847178 50.9775538),-0.3847178,50.9775538,South-1,SX111
POINT (-0.3842239 50.9767053),-0.3842239,50.9767053,South-1,SX113
POINT (-0.3832958 50.977397),-0.3832958,50.977397,South-1,SX112
POINT (-0.3832316 50.9750037),-0.3832316,50.9750037,South-1,SX133